dataset,bin,bin_low,bin_high,n,mean_probability,observed_positive_fraction
TN5000,0,0.0,0.1,154,0.019036836234299383,0.032467532467532464
TN5000,1,0.1,0.2,34,0.14417216233799562,0.3235294117647059
TN5000,2,0.2,0.3,19,0.24894838662523971,0.3684210526315789
TN5000,3,0.3,0.4,14,0.33734159178233575,0.35714285714285715
TN5000,4,0.4,0.5,22,0.45888187894315435,0.5454545454545454
TN5000,5,0.5,0.6,15,0.553951724535889,0.6
TN5000,6,0.6,0.7,30,0.6504124556150701,0.6
TN5000,7,0.7,0.8,48,0.754533315077424,0.7916666666666666
TN5000,8,0.8,0.9,76,0.8578476477087589,0.8421052631578947
TN5000,9,0.9,1.0,588,0.9678981482577161,0.9778911564625851
BUSI,0,0.0,0.1,22,0.0357432916326533,0.0
BUSI,1,0.1,0.2,13,0.14681064033737548,0.15384615384615385
BUSI,2,0.2,0.3,9,0.24342691244350542,0.2222222222222222
BUSI,3,0.3,0.4,15,0.34901557793219884,0.13333333333333333
BUSI,4,0.4,0.5,11,0.4419105944308368,0.36363636363636365
BUSI,5,0.5,0.6,9,0.5324139820204841,0.4444444444444444
BUSI,6,0.6,0.7,9,0.646588197681639,0.2222222222222222
BUSI,7,0.7,0.8,14,0.7413283399173192,0.6428571428571429
BUSI,8,0.8,0.9,10,0.861605246067047,1.0
BUSI,9,0.9,1.0,17,0.9519676867653343,1.0
AUL,0,0.0,0.1,0,0.05,nan
AUL,1,0.1,0.2,0,0.15000000000000002,nan
AUL,2,0.2,0.3,0,0.25,nan
AUL,3,0.3,0.4,0,0.35,nan
AUL,4,0.4,0.5,4,0.43709595799446105,0.0
AUL,5,0.5,0.6,4,0.5557041242718697,0.25
AUL,6,0.6,0.7,17,0.6589186591260574,0.5294117647058824
AUL,7,0.7,0.8,19,0.7638816494690744,0.5263157894736842
AUL,8,0.8,0.9,83,0.8490498149251363,0.891566265060241
AUL,9,0.9,1.0,0,0.95,nan
