"Variant","Dataset","Path","Filter","Bytes","LastWriteTime","SHA256"
"TransXNet","TN5000","tn5000_p0_structure_current_3seed_logs/20260429_030247/all_runs_metrics.csv","display_name_cfg=TransXNet","2399","2026-04-29 07:36:08","ce108e2c268154abda95820bf9599c5d81d26dbacaa2f5aab463173800fe88ae"
"TransXNet","BUSI","busi_p0_structure_clean_5fold_logs/20260425_034843/all_runs_metrics.csv","display_name_cfg=TransXNet","9797","2026-04-25 07:37:13","0b636ced1115aa22f20a2e3bdfef73720e4f5615d8849b71c35a0fb482a0c138"
"TransXNet","AUL","aul_p0_structure_clean_5fold_logs/20260425_030033/all_runs_metrics.csv","display_name_cfg=TransXNet","9294","2026-04-25 03:25:29","81970dce744cc9788008ad7425a52a172f56c34b2a22e422ca45c74f8c411d66"
"TransXNet-GG","TN5000","tn5000_p0_structure_current_3seed_logs/20260429_104255/all_runs_metrics.csv","display_name_cfg=TransXNet-GG","4198","2026-04-29 21:39:14","5caf90f3112508f7430d9586921f2aa2bd3076810e8e0ed7bdd33f77d6b1bc82"
"TransXNet-GG","BUSI","busi_p0_structure_clean_5fold_logs/20260425_034843/all_runs_metrics.csv","display_name_cfg=TransXNet-GG","9797","2026-04-25 07:37:13","0b636ced1115aa22f20a2e3bdfef73720e4f5615d8849b71c35a0fb482a0c138"
"TransXNet-GG","AUL","aul_p0_structure_clean_5fold_logs/20260425_030033/all_runs_metrics.csv","display_name_cfg=TransXNet-GG","9294","2026-04-25 03:25:29","81970dce744cc9788008ad7425a52a172f56c34b2a22e422ca45c74f8c411d66"
"GGG-noMCA","TN5000","tn5000_ggg_nomca_current_3seed_logs/20260427_051327/all_runs_metrics.csv","all rows","2470","2026-04-27 12:35:16","6ca9e0384d45db53babd29ef6a47bf076918bfb67a1ab057e7e9aeb2c453f1c1"
"GGG-noMCA","BUSI","busi_ggg_nomca_clean_5fold_safe_logs/20260427_123519/all_runs_metrics.csv","all rows","3866","2026-04-27 14:02:12","a44b125da3b262a74426d91cf1e2588ad22ab100dc4fa0d179a0579f78a2f13b"
"GGG-noMCA","AUL","aul_ggg_nomca_clean_5fold_safe_logs/20260427_140214/all_runs_metrics.csv","all rows","3780","2026-04-27 14:10:56","fb062bed6d11926d4a6b024502382bc3e38f90a92ddeb0e3648d5386e5734034"
"UL-TransXNet","TN5000","tn5000_ggg_mca_enabled_3seed_logs/20260426_093728/all_runs_metrics.csv","all rows","2429","2026-04-26 16:53:30","e15c53a03e271fcd70d7bb2a0204dd8e34048a5a7de4ca3f1b2b65331908569e"
"UL-TransXNet","BUSI","busi_ggg_mca_clean_5fold_safe_logs/20260426_165332/all_runs_metrics.csv","all rows","3821","2026-04-26 20:06:15","a0bc5dede716a26f4b82a97b6983392c08a8c43c26a9f9c5b164194582ab7981"
"UL-TransXNet","AUL","aul_ggg_mca_clean_5fold_safe_logs/20260426_200618/all_runs_metrics.csv","all rows","3719","2026-04-26 20:18:27","000c2e7e5b0aac029791f910aa3479709ec7b229450285dede161d771856ac84"
