method,role,input,params_m,macs_g
ResNet50,Prior baseline,256x256,24.56,5.40
DenseNet121,Prior baseline,256x256,7.48,3.70
EfficientNet-B0,Prior baseline,256x256,4.66,0.50
MobileNetV3-Large,Prior baseline,256x256,4.86,0.28
Swin-T,Prior baseline,256x256,27.91,7.11
ConvNeXt-Tiny,Prior baseline,256x256,28.21,5.82
RepViT-M1.1,Prior baseline,256x256,8.04,1.80
EfficientFormer-L1,Prior baseline,224x224,11.62,1.31
TransXNet,Ours / ablation,256x256,13.35,2.32
TransXNet-G,Ours / ablation,256x256,13.42,2.34
TransXNet-GG,Ours / ablation,256x256,14.15,2.38
TransXNet-GGG-noMCA,Ours / ablation,256x256,14.29,2.34
UL-TransXNet,Ours,256x256,14.37,2.36
