protocol,config,split,domain,n_runs,auc_mean,auc_std,acc_mean,acc_std,bal_acc_mean,bal_acc_std,f1_macro_mean,f1_macro_std,specificity_recall0_mean,specificity_recall0_std,sensitivity_recall1_mean,sensitivity_recall1_std,ppv_mean,ppv_std,npv_mean,npv_std
joint_all,effformer_l1,test,aul,3,0.7983753194596567,0.03671911903274531,0.7401574803149606,0.03432203892551712,0.731790799561884,0.026188734060257922,0.7226170412853873,0.03119672372382979,0.7045454545454546,0.022727272727272763,0.7590361445783133,0.05521175536091374,0.8287223884785865,0.012674312967648631,0.6110654406690212,0.05130279641529339
joint_all,effformer_l1,test,busi,3,0.8323693850009639,0.01923964565368866,0.8062015503875969,0.015503875968992276,0.7553499132446501,0.023443126334740483,0.7609991850758201,0.02160200888167302,0.8791208791208791,0.01098901098901095,0.6315789473684211,0.045580284409707315,0.6855426855426856,0.025296478743553126,0.8512437043889403,0.015583509464289885
joint_all,effformer_l1,test,tn5000,3,0.9212066317229182,0.006454627066832599,0.8533333333333334,0.013613718571108104,0.8420024516718719,0.004393731376977644,0.8263522045436256,0.011696257969982329,0.8161328588374852,0.027642183150014373,0.8678720445062588,0.028941101594832843,0.9237614253852806,0.008570990998227463,0.7092262877342413,0.037087460086547806
joint_all,effformer_l1,val,aul,3,0.7678030303030302,0.06792169445129438,0.6862745098039215,0.0935234511193084,0.712121212121212,0.08470356773508626,0.6416814984497016,0.0885614398909939,0.7575757575757577,0.06943296507508853,0.6666666666666666,0.10026007846263302,0.9063667970447632,0.037340314904366685,0.39394510789859627,0.09325116756642746
joint_all,effformer_l1,val,busi,3,0.8334662413609782,0.035806073861340444,0.8076923076923076,0.016654334688162287,0.7721956406166933,0.020347954256386625,0.7824503505501458,0.01996199341263213,0.904040404040404,0.017495462702715917,0.6403508771929824,0.04019803241189335,0.7940438871473354,0.030924164211800918,0.8138721820411962,0.016850772012899612
joint_all,effformer_l1,val,combined,3,0.9114311315924221,0.007253531593694846,0.8493862134088763,0.011878891053266406,0.8552835381464413,0.014112917376364829,0.8307399351159578,0.013312134983028802,0.8698412698412699,0.019825390471106017,0.840725806451613,0.008788102708751338,0.9384852971892014,0.00937213484682803,0.6981019850900557,0.016207338551065997
joint_all,effformer_l1,val,tn5000,3,0.9453624194061353,0.0039483761441564446,0.8913333333333333,0.0041633319989322695,0.8846459652470582,0.0065507254035628995,0.8611852066484594,0.004369431055159265,0.8715846994535519,0.020627962937898245,0.8977072310405644,0.010015711368254429,0.9559372216549118,0.006414718552765932,0.7337242629598669,0.015063278928946922
joint_all,effformer_l1_eca,test,aul,3,0.69934282584885,0.024115048035382242,0.6456692913385828,0.043840664274252115,0.6167853231106243,0.03683371511071793,0.6141393816823076,0.03924469663987506,0.5227272727272728,0.06013071161510435,0.7108433734939759,0.07328629554576166,0.737264084007379,0.024413014492699663,0.4932806324110672,0.05387251731038688
joint_all,effformer_l1_eca,test,busi,3,0.7983420088683246,0.01908252531214475,0.7906976744186046,0.007751937984496138,0.7520242914979757,0.009832272990167756,0.7497881662599486,0.0002747471235406964,0.8461538461538461,0.03296703296703296,0.6578947368421053,0.05263157894736842,0.6437108642990996,0.031503059585672843,0.8560830180025226,0.01424881005217397
joint_all,effformer_l1_eca,test,tn5000,3,0.8845882890597031,0.03631101904185958,0.84,0.0416173040933696,0.7998505239087503,0.031814725940415865,0.8020472621765532,0.04301813464821824,0.7081850533807829,0.015512095884486397,0.8915159944367176,0.05473899486551997,0.8862892879917293,0.010199775053523904,0.7272674112176903,0.09870937604951323
joint_all,effformer_l1_eca,val,aul,3,0.7356060606060607,0.006128291548243695,0.6699346405228758,0.02040849019084443,0.690719696969697,0.023318539928728614,0.6218829555201106,0.019358957897501475,0.7272727272727272,0.04545454545454547,0.6541666666666667,0.026020824993326672,0.8972987159815876,0.014782806284491806,0.36668112728558117,0.019282095502677444
joint_all,effformer_l1_eca,val,busi,3,0.8406432748538011,0.02792587116334997,0.798076923076923,0.0288461538461538,0.7683413078149921,0.022727272727272707,0.7757057612865325,0.027538627472029318,0.8787878787878788,0.045454545454545414,0.6578947368421053,0.0,0.7617845117845118,0.06954003216270334,0.8166830873955977,0.007752703321592777
joint_all,effformer_l1_eca,val,combined,3,0.8986463133640553,0.01107831036955837,0.8418319169027385,0.016599051776437154,0.8352630568356375,0.011786071057791255,0.8191845797416933,0.0163171959742336,0.8190476190476191,0.012598815766974237,0.851478494623656,0.025046566066645425,0.9174619151579325,0.004843443095136496,0.701325295485724,0.033363649152018
joint_all,effformer_l1_eca,val,tn5000,3,0.9290701708734496,0.030046249908812883,0.886,0.02959729717389751,0.8579885506115015,0.021885989849946736,0.8498637686317477,0.03346449722768282,0.8032786885245901,0.008196721311475419,0.9126984126984127,0.03703703703703707,0.9348522222038875,0.004827592248463197,0.7533384009100074,0.07798185504888738
lodo_aul,effformer_l1,test,aul,3,0.5936473165388828,0.034362276981491774,0.4488188976377953,0.0954673673463161,0.5355969331872946,0.05722973450416986,0.4300715127566898,0.12223547707187886,0.8181818181818182,0.06818181818181818,0.25301204819277107,0.1819237213318253,0.667601683029453,0.14545572513599175,0.37191358024691357,0.03713336239356779
lodo_aul,effformer_l1,val,busi,3,0.8411749069643807,0.04830379486701861,0.8044871794871794,0.005551444896054075,0.7733918128654972,0.009621843592630715,0.7815157689948394,0.00812345884766222,0.8888888888888888,0.008747731351357958,0.6578947368421053,0.026315789473684237,0.7733831435800127,0.008301778372339268,0.8187450170326883,0.01019413674728749
lodo_aul,effformer_l1,val,combined,3,0.9312985883797055,0.011658546988362307,0.880242825607064,0.02640369473268362,0.8732184260774686,0.009466105178363103,0.8640897676278468,0.02467936452206335,0.8546099290780141,0.035416638928081834,0.891826923076923,0.05433968536277553,0.9319708118103653,0.012049845825496789,0.7884220823772335,0.0762918636931861
lodo_aul,effformer_l1,val,tn5000,3,0.9441914592187817,0.007075723185871821,0.896,0.030789608636681332,0.8757047445572036,0.0028257256930419063,0.8645435507648628,0.030112028476130773,0.8360655737704917,0.05374949610083607,0.9153439153439153,0.05802040264407752,0.9460820844215521,0.014017896457114914,0.7768008351867297,0.11057500931441891
lodo_aul,effformer_l1_eca,test,aul,3,0.633442862358525,0.09240825228396268,0.5039370078740157,0.0686440778510342,0.5866648411829135,0.02951605284217792,0.4919509364648423,0.07648097178889716,0.8560606060606061,0.11662730544197465,0.3172690763052209,0.1635776052563558,0.8231481481481482,0.06691696838946169,0.40317343518952403,0.031249798176489842
lodo_aul,effformer_l1_eca,val,busi,3,0.8383838383838383,0.02279827925825788,0.798076923076923,0.019230769230769218,0.7608984582668793,0.03121613196521896,0.7701700317517668,0.028804532430639244,0.8989898989898989,0.03154039393130501,0.6228070175438596,0.08459342772800842,0.7831029185867896,0.03500282381928679,0.8067188878250314,0.030008382170613832
lodo_aul,effformer_l1_eca,val,combined,3,0.9265974495362793,0.006353836591935007,0.8747240618101545,0.011628756901603464,0.8701837834151664,0.007438148640962962,0.8582502455693929,0.008160466388901954,0.8581560283687942,0.05637628757299518,0.8822115384615384,0.04211878718253663,0.9333017799407267,0.021887361928802286,0.7718354950240564,0.05390693144325707
lodo_aul,effformer_l1_eca,val,tn5000,3,0.9405484719692371,0.007774965779734658,0.8906666666666667,0.012220201853215583,0.8721774076965333,0.015680679864319504,0.857494724175217,0.007719552402935382,0.8360655737704917,0.07003281758456996,0.9082892416225748,0.038730496042324085,0.9457974116275798,0.01986563296060624,0.7540913200723328,0.06893947687051101
lodo_busi,effformer_l1,test,busi,3,0.7338538654328127,0.04275075534497669,0.6718346253229974,0.080684728661478,0.6422305764411028,0.04146378680162546,0.6257734450334792,0.05341027908927327,0.7142857142857143,0.1648351648351648,0.5701754385964913,0.151934281365691,0.481969011380776,0.09932347486475596,0.8012277187034469,0.029067480939983254
lodo_busi,effformer_l1,val,aul,3,0.7399621212121211,0.03764749460272571,0.5980392156862745,0.14442078296721797,0.6668560606060607,0.041287444395824414,0.5634011010614061,0.11284999476482634,0.787878787878788,0.14611592062110543,0.5458333333333333,0.22372322931098002,0.9142760942760942,0.039678502571326435,0.3409090909090909,0.0722681213194656
lodo_busi,effformer_l1,val,combined,3,0.8870921276079572,0.033911975329528596,0.8222591362126246,0.044293327661041125,0.8125657043506388,0.0388106424800658,0.7793225162640952,0.044152345275292035,0.7939814814814815,0.10447485274441444,0.8311499272197963,0.07491766656452852,0.9295302822388952,0.03161259305250497,0.6082913526608275,0.09195155281768616
lodo_busi,effformer_l1,val,tn5000,3,0.926515020094255,0.035904925139633205,0.868,0.030265491900843138,0.8433081793737531,0.045000851351195935,0.8281739662743716,0.03891373037365424,0.7950819672131146,0.10270462365689892,0.8915343915343915,0.04371087735941352,0.932078884573382,0.031231129403086085,0.7089539776989425,0.07703029743825421
lodo_busi,effformer_l1_eca,test,busi,3,0.7450356660882975,0.02223024531389951,0.7286821705426356,0.01550387596899222,0.6723057644110275,0.025365261394440463,0.6716550138600993,0.018532291617469457,0.8095238095238096,0.0444115591684327,0.5350877192982456,0.08459342772800837,0.5424973360457231,0.034491285023784,0.8075766538499458,0.022339280055827665
lodo_busi,effformer_l1_eca,val,aul,3,0.768560606060606,0.05458785441709774,0.7254901960784313,0.06122547057253327,0.731628787878788,0.012003751422341565,0.670581463357717,0.03470525541797275,0.7424242424242423,0.13886593015017695,0.7208333333333333,0.11614466553971961,0.9143932587328814,0.03020390860204935,0.4375056689342404,0.07194646501523806
lodo_busi,effformer_l1_eca,val,combined,3,0.9156709930454472,0.003427718453423205,0.8754152823920265,0.019157080722044497,0.8641638363254084,0.0005970140781181759,0.8399742608278834,0.0173455034650132,0.8425925925925926,0.038247017689486795,0.8857350800582241,0.03720342916777895,0.947438032347593,0.010155197992761721,0.7037721058637622,0.059244431562176444
lodo_busi,effformer_l1_eca,val,tn5000,3,0.9479428687078961,0.00758262490689794,0.906,0.01216552506059645,0.8906453291699193,0.0010861722427243088,0.8771088232523385,0.012237681440076602,0.860655737704918,0.02168648615626712,0.9206349206349206,0.023062957373231063,0.9535467620923385,0.005897676310369829,0.7802511172589912,0.04409861686234038
lodo_tn5000,effformer_l1,test,tn5000,3,0.6260771435217953,0.05572620739834514,0.532,0.08350449089719665,0.5722954479085721,0.023854603950015908,0.5099454054169448,0.056541998773928515,0.66429418742586,0.2007550662885887,0.4802967083912842,0.19087376311936066,0.7992751540841952,0.05795014995193519,0.33793541708840547,0.029867135868631278
lodo_tn5000,effformer_l1,val,aul,3,0.7486742424242424,0.04330996734413297,0.8169934640522877,0.031515198565336446,0.6801136363636363,0.07615332239893868,0.6906873651180744,0.07700400658625817,0.4393939393939394,0.18370235837851728,0.9208333333333334,0.0520416499866533,0.8583065329552236,0.034204496445131065,0.617540494458653,0.09229796729046022
lodo_tn5000,effformer_l1,val,busi,3,0.8694843168527379,0.031741375535519305,0.8333333333333334,0.03090913705446455,0.8128654970760234,0.026159257687298328,0.8172507106443277,0.029305839289325415,0.888888888888889,0.06832196595186203,0.7368421052631579,0.06962503450169974,0.8036616756128953,0.09297640542292514,0.8555624134964277,0.025861068183564467
lodo_tn5000,effformer_l1,val,combined,3,0.8738122752953261,0.011203500935088014,0.8252427184466019,0.004854368932038833,0.8190485362095531,0.004718798151001529,0.8200969532866811,0.0019608375118256673,0.7765151515151515,0.06658483269411722,0.8615819209039547,0.05768524818266142,0.8402317971412643,0.033423231065677045,0.811969696969697,0.04919064877126658
lodo_tn5000,effformer_l1_eca,test,tn5000,3,0.553216623193212,0.06580130481516644,0.41300000000000003,0.0470319040652194,0.5202535154103911,0.01828194052683446,0.4062387760593458,0.04629252180935974,0.7651245551601424,0.14997371890181832,0.2753824756606398,0.12229734596373079,0.7643513809575516,0.05602157974976428,0.29149570611280545,0.008038758441647
lodo_tn5000,effformer_l1_eca,val,aul,3,0.7768939393939394,0.013967722778403226,0.8039215686274509,0.042734303368045796,0.7431818181818182,0.04983508443351802,0.7281091269047812,0.053076502453012674,0.6363636363636364,0.07872958216222169,0.85,0.04506939094329988,0.8947666843236464,0.021766543387296673,0.5440579710144927,0.0941636484563508
lodo_tn5000,effformer_l1_eca,val,busi,3,0.8472886762360446,0.019731807068036022,0.7884615384615384,0.028846153846153855,0.7607655502392344,0.06255395072817035,0.761361900036165,0.05263671776827895,0.8636363636363638,0.06604392338697991,0.6578947368421052,0.18976585660336784,0.7469934526238076,0.05440215548637342,0.8218557289266356,0.06983993646283207
lodo_tn5000,effformer_l1_eca,val,combined,3,0.8545197740112994,0.010318854373919892,0.7961165048543689,0.03398058252427183,0.7974768875192604,0.027020221003641064,0.7932582597561112,0.032245625651240575,0.8068181818181818,0.06013071161510434,0.788135593220339,0.08928520129536219,0.8477913431791068,0.032309437330380594,0.7463694122986159,0.07055124741491202
