split,model,threshold,checkpoint_count,gt_auc,gt_bal_acc,noise5_auc,noise5_bal_acc,noise5_auc_drop,noise5_bal_acc_drop,noise10_auc,noise10_bal_acc,noise10_auc_drop,noise10_bal_acc_drop,noise20_auc,noise20_bal_acc,noise20_auc_drop,noise20_bal_acc_drop,detector_auc,detector_bal_acc,detector_auc_drop,detector_bal_acc_drop,full_auc,full_bal_acc,full_auc_drop,full_bal_acc_drop
test,EfficientFormer-L1+ECA student,0.31,7,0.9279792515306451,0.8599602057028594,0.9284049119229456,0.8543969233662807,-0.0004256603923005198,0.0055632823365786566,0.9291473428397488,0.8399368438766772,-0.0011680913091036693,0.02002336182618214,0.9258311514113612,0.858344181073951,0.002148100119283902,0.001616024628908308,0.9308178124025559,0.8560946153960374,-0.0028385608719108113,0.0038655903068219866,0.7164681076425838,0.6376541162844798,0.21151114388806125,0.2223060894183796
test,EfficientFormer-L1+ECA+KD student,0.86,7,0.9556620256485134,0.8778552655675389,0.9553650532817921,0.8791644187508352,0.00029697236672132643,-0.0013091531832962744,0.9542316087488059,0.8721286484292636,0.0014304168997075761,0.0057266171382752695,0.9513361281732736,0.8684263929241385,0.004325897475239815,0.009428872643400421,0.9522592172798322,0.8745217507510926,0.0034028083686812316,0.0033335148164462813,0.711122605041601,0.6009384326788393,0.24453942060691247,0.2769168328886996
test,EfficientFormer-L1+KD student,0.83,7,0.9584535658956934,0.8820895965630398,0.9574983047827399,0.8853414439786378,0.0009552611129535205,-0.0032518474155980304,0.9563896079469805,0.8806987759788951,0.0020639579487129467,0.0013908205841446364,0.952865535861888,0.8787758799043749,0.005588030033805369,0.003313716658664867,0.9533580150367009,0.8731927994100149,0.0050955508589924925,0.008896797153024827,0.7063265013190522,0.6332143794019967,0.25212706457664125,0.2488752171610431
test,TransXNet-MUDD+DA teacher,0.72,9,0.9622746103475072,0.9036473156172817,0.9593989279297561,0.8969184167413222,0.0028756824177510465,0.00672889887595951,0.9556174797935052,0.8842376966823238,0.0066571305540019665,0.019409618934957962,0.9462875979390117,0.8664639005340553,0.015987012408495427,0.03718341508322642,0.9497003053865838,0.8848514395735476,0.012574304960923377,0.018795876043734117,0.6868698617593634,0.6450413039066716,0.2754047485881438,0.25860601171061015
test,UL-TransXNet teacher,0.78,9,0.9599730745054172,0.892909289790585,0.9590326620107998,0.8925207509441246,0.0009404124946174042,0.0003885388464603956,0.9513757244888363,0.8746652873950078,0.008597350016580907,0.01824400239557722,0.9375912571335238,0.8530259009399175,0.022381817371893487,0.039883388850667556,0.9487004984186221,0.8874895440979217,0.011272576086795105,0.005419745692663347,0.6555887724647221,0.6284727206133469,0.3043843020406951,0.2644365691772381
val,EfficientFormer-L1+ECA student,0.31,7,0.9561757307658947,0.8882600398993841,0.9617269494318675,0.88138606991066,-0.005551218665972857,0.006873969988724027,0.957997224390667,0.8920981871801543,-0.0018214936247723523,-0.0038381472807702544,0.9506678809957498,0.8639300893399254,0.005507849770144846,0.024329950559458635,0.9511666232977707,0.8879998265244167,0.005009107468123997,0.0002602133749673996,0.7274915430653137,0.6708083962182323,0.22868418770058097,0.21745164368115177
val,EfficientFormer-L1+ECA+KD student,0.86,7,0.9748677248677249,0.9210469251452857,0.9749761471072946,0.9169485644895481,-0.00010842223956974983,0.004098360655737654,0.9759302628155087,0.9238225344782722,-0.0010625379477837704,-0.002775609332986484,0.9725041200451036,0.9079495186052563,0.0023636048226213235,0.013097406540029444,0.9625943273484256,0.9168184578020644,0.012273397519299234,0.004228467343221354,0.7323705438459537,0.6342701014832162,0.2424971810217712,0.2867768236620696
val,EfficientFormer-L1+KD student,0.83,7,0.9770795385549484,0.9291135397692775,0.9754098360655737,0.915495706479313,0.0016697024893747026,0.013617833289964465,0.9776650186486252,0.9156258131667968,-0.0005854800936767601,0.013487726602480654,0.9746075114927574,0.9117876658860266,0.0024720270621910734,0.01732587388325091,0.9671480614103565,0.9057160204701189,0.009931477144591971,0.023397519299158565,0.7195767195767195,0.6435510451903894,0.2575028189782289,0.28556249457888805
val,TransXNet-MUDD+DA teacher,0.72,9,0.9766024807008414,0.9407580882990719,0.975821840575939,0.9272703616965912,0.0007806401249024209,0.013487726602480765,0.9731546534825224,0.9340142249978316,0.003447827218319044,0.006743863301240327,0.9706392575245034,0.9083615231156215,0.005963223176338017,0.032396565183450465,0.961488420504814,0.9256873969988724,0.015114060196027457,0.015070691300199557,0.7092115534738487,0.6327738745771533,0.26739092722699276,0.30798421372191864
val,UL-TransXNet teacher,0.78,9,0.975756787232197,0.9423410529967906,0.9734148668574898,0.9316289357272964,0.0023419203747072626,0.01071211726949417,0.9713114754098361,0.9137826350941105,0.0044453118223609644,0.0285584179026801,0.9600355624945789,0.8776780293173736,0.015721224737618167,0.06466302367941701,0.9592115534738487,0.9230418943533698,0.016545233758348377,0.0192991586434208,0.6900425015179114,0.6437245207737011,0.2857142857142857,0.2986165322230895
